Date,Time,Temperature,Voltage
01-05-2019,06:00,304.32,412.54
01-05-2019,06:15,304.49,410.96
01-05-2019,06:30,304.65,411.51
01-05-2019,06:45,304.78,415.06
01-05-2019,07:00,304.88,415.86
01-05-2019,07:15,304.97,415.92
01-05-2019,07:30,305.07,416.31
01-05-2019,07:45,305.14,416.45
01-05-2019,08:00,305.17,414.84
01-05-2019,08:15,305.21,411.91
01-05-2019,08:30,305.25,409.22
01-05-2019,08:45,305.24,406.33
01-05-2019,09:00,305.18,405.21
01-05-2019,09:15,305.13,409.1
01-05-2019,09:30,305.07,407.79
01-05-2019,09:45,304.97,408.53
01-05-2019,10:00,304.82,412.3
01-05-2019,10:15,304.67,406.3
01-05-2019,10:30,304.53,406.5
01-05-2019,10:45,304.35,410.3
01-05-2019,11:00,304.14,408.47
01-05-2019,11:15,303.94,405.38
01-05-2019,11:30,303.73,409.82
01-05-2019,11:45,303.51,411.84
01-05-2019,12:00,303.27,416.51
01-05-2019,12:15,303.02,412.64
01-05-2019,12:30,302.78,412.86
01-05-2019,12:45,302.54,406.35
01-05-2019,13:00,302.31,417.71
01-05-2019,13:15,302.08,418.54
01-05-2019,13:30,301.85,414.59
01-05-2019,13:45,301.66,414.46
01-05-2019,14:00,301.52,413.22
01-05-2019,14:15,301.38,411.38
01-05-2019,14:30,301.24,410.41
01-05-2019,14:45,301.12,406.93
01-05-2019,15:00,301.03,405.81
01-05-2019,15:15,300.94,406.78
01-05-2019,15:30,300.85,408.71
01-05-2019,15:45,300.77,406.77
01-05-2019,16:00,300.71,408.77
01-05-2019,16:15,300.64,406.02
01-05-2019,16:30,300.58,408.25
01-05-2019,16:45,300.51,409.2
01-05-2019,17:00,300.45,411.38
01-05-2019,17:15,300.38,412.93
01-05-2019,17:30,300.31,413.99
01-05-2019,17:45,300.25,416.37
01-05-2019,18:00,300.2,411.35
01-05-2019,18:15,300.15,409.14
01-05-2019,18:30,300.1,408.29
01-05-2019,18:45,300.06,406.71
01-05-2019,19:00,300.02,411.9
01-05-2019,19:15,299.98,
01-05-2019,19:30,299.94,
01-05-2019,19:45,299.91,
01-05-2019,20:00,299.87,
01-05-2019,20:15,299.84,
01-05-2019,20:30,299.81,
01-05-2019,20:45,299.78,
01-05-2019,21:00,299.75,
01-05-2019,21:15,299.72,
01-05-2019,21:30,299.7,
01-05-2019,21:45,299.67,
01-05-2019,22:00,299.64,
01-05-2019,22:15,299.61,
01-05-2019,22:30,299.58,
01-05-2019,22:45,299.56,
01-05-2019,23:00,299.55,
01-05-2019,23:15,299.54,
01-05-2019,23:30,299.52,
01-05-2019,23:45,299.51,
01-05-2019,24:00:00,299.49,
02-05-2019,00:15,299.48,
02-05-2019,00:30,299.46,
02-05-2019,00:45,299.5,
02-05-2019,01:00,299.6,
02-05-2019,01:15,299.7,
02-05-2019,01:30,299.8,
02-05-2019,01:45,299.95,
02-05-2019,02:00,300.16,
02-05-2019,02:15,300.36,
02-05-2019,02:30,300.56,
02-05-2019,02:45,300.8,
02-05-2019,03:00,301.08,
02-05-2019,03:15,301.36,
02-05-2019,03:30,301.64,
02-05-2019,03:45,301.93,
02-05-2019,04:00,302.23,
02-05-2019,04:15,302.53,
02-05-2019,04:30,302.83,
02-05-2019,04:45,303.1,
02-05-2019,05:00,303.35,
02-05-2019,05:15,303.59,
02-05-2019,05:30,303.84,
02-05-2019,05:45,304.05,
02-05-2019,06:00,304.23,417.46
02-05-2019,06:15,304.4,417.46
02-05-2019,06:30,304.58,413.83
02-05-2019,06:45,304.71,413.61
02-05-2019,07:00,304.79,414.59
02-05-2019,07:15,304.88,414.59
02-05-2019,07:30,304.96,416.38
02-05-2019,07:45,305,414.14
02-05-2019,08:00,304.99,414.45
02-05-2019,08:15,304.98,412.17
02-05-2019,08:30,304.98,408.95
02-05-2019,08:45,304.94,410.59
02-05-2019,09:00,304.86,410.29
02-05-2019,09:15,304.78,410.8
02-05-2019,09:30,304.7,413.58
02-05-2019,09:45,304.6,415.32
02-05-2019,10:00,304.47,408.52
02-05-2019,10:15,304.35,412.46
02-05-2019,10:30,304.23,409.88
02-05-2019,10:45,304.08,407.85
02-05-2019,11:00,303.91,410.51
02-05-2019,11:15,303.74,412.57
02-05-2019,11:30,303.58,411
02-05-2019,11:45,303.39,411.55
02-05-2019,12:00,303.19,418.68
02-05-2019,12:15,302.98,410.28
02-05-2019,12:30,302.78,409.93
02-05-2019,12:45,302.57,412.48
02-05-2019,13:00,302.36,416.21
02-05-2019,13:15,302.15,410.64
02-05-2019,13:30,301.94,410.49
02-05-2019,13:45,301.76,415.11
02-05-2019,14:00,301.62,414.84
02-05-2019,14:15,301.49,406.99
02-05-2019,14:30,301.35,412.29
02-05-2019,14:45,301.23,408.42
02-05-2019,15:00,301.13,409.01
02-05-2019,15:15,301.02,410.33
02-05-2019,15:30,300.92,414.56
02-05-2019,15:45,300.83,414.37
02-05-2019,16:00,300.74,409.64
02-05-2019,16:15,300.66,413.73
02-05-2019,16:30,300.57,413.04
02-05-2019,16:45,300.49,408.08
02-05-2019,17:00,300.41,410.86
02-05-2019,17:15,300.33,414
02-05-2019,17:30,300.25,414.75
02-05-2019,17:45,300.17,418.28
02-05-2019,18:00,300.09,418.86
02-05-2019,18:15,300,411.81
02-05-2019,18:30,299.92,415.51
02-05-2019,18:45,299.84,416.13
02-05-2019,19:00,299.76,414.98
02-05-2019,19:15,299.69,
02-05-2019,19:30,299.61,
02-05-2019,19:45,299.54,
02-05-2019,20:00,299.48,
02-05-2019,20:15,299.42,
02-05-2019,20:30,299.36,
02-05-2019,20:45,299.31,
02-05-2019,21:00,299.27,
02-05-2019,21:15,299.23,
02-05-2019,21:30,299.19,
02-05-2019,21:45,299.15,
02-05-2019,22:00,299.13,
02-05-2019,22:15,299.1,
02-05-2019,22:30,299.08,
02-05-2019,22:45,299.05,
02-05-2019,23:00,299.02,
02-05-2019,23:15,299,
02-05-2019,23:30,298.97,
02-05-2019,23:45,298.95,
02-05-2019,24:00:00,298.92,
03-05-2019,00:15,298.89,
03-05-2019,00:30,298.86,
03-05-2019,00:45,298.9,
03-05-2019,01:00,299.01,
03-05-2019,01:15,299.13,
03-05-2019,01:30,299.24,
03-05-2019,01:45,299.42,
03-05-2019,02:00,299.67,
03-05-2019,02:15,299.93,
03-05-2019,02:30,300.18,
03-05-2019,02:45,300.48,
03-05-2019,03:00,300.81,
03-05-2019,03:15,301.15,
03-05-2019,03:30,301.49,
03-05-2019,03:45,301.83,
03-05-2019,04:00,302.17,
03-05-2019,04:15,302.51,
03-05-2019,04:30,302.85,
03-05-2019,04:45,303.16,
03-05-2019,05:00,303.44,
03-05-2019,05:15,303.72,
03-05-2019,05:30,304,
03-05-2019,05:45,304.23,
03-05-2019,06:00,304.41,414.99
03-05-2019,06:15,304.58,412.82
03-05-2019,06:30,304.76,412.74
03-05-2019,06:45,304.89,413.81
03-05-2019,07:00,304.96,413.57
03-05-2019,07:15,305.04,415.35
03-05-2019,07:30,305.11,418.36
03-05-2019,07:45,305.14,416.71
03-05-2019,08:00,305.13,415.03
03-05-2019,08:15,305.11,410.83
03-05-2019,08:30,305.1,410.56
03-05-2019,08:45,305.06,409.76
03-05-2019,09:00,305,414.78
03-05-2019,09:15,304.93,417.87
03-05-2019,09:30,304.87,414.17
03-05-2019,09:45,304.79,409.87
03-05-2019,10:00,304.69,411.59
03-05-2019,10:15,304.59,414.56
03-05-2019,10:30,304.49,411.59
03-05-2019,10:45,304.37,417.02
03-05-2019,11:00,304.22,411.86
03-05-2019,11:15,304.08,418.74
03-05-2019,11:30,303.93,420
03-05-2019,11:45,303.75,412.9
03-05-2019,12:00,303.54,418.99
03-05-2019,12:15,303.33,412.29
03-05-2019,12:30,303.12,415.68
03-05-2019,12:45,302.89,416.05
03-05-2019,13:00,302.65,419.67
03-05-2019,13:15,302.41,414.62
03-05-2019,13:30,302.17,415.96
03-05-2019,13:45,301.97,415.71
03-05-2019,14:00,301.8,413.04
03-05-2019,14:15,301.63,414.83
03-05-2019,14:30,301.46,414.62
03-05-2019,14:45,301.31,410.31
03-05-2019,15:00,301.18,408.9
03-05-2019,15:15,301.06,408.93
03-05-2019,15:30,300.93,409.05
03-05-2019,15:45,300.82,410.09
03-05-2019,16:00,300.71,415.53
03-05-2019,16:15,300.6,414.13
03-05-2019,16:30,300.49,414.66
03-05-2019,16:45,300.39,410.23
03-05-2019,17:00,300.3,409.56
03-05-2019,17:15,300.2,413.42
03-05-2019,17:30,300.11,414.83
03-05-2019,17:45,300.01,415.23
03-05-2019,18:00,299.93,415.42
03-05-2019,18:15,299.84,413.09
03-05-2019,18:30,299.75,411.38
03-05-2019,18:45,299.66,405.21
03-05-2019,19:00,299.57,411.59
03-05-2019,19:15,299.49,
03-05-2019,19:30,299.4,
03-05-2019,19:45,299.32,
03-05-2019,20:00,299.26,
03-05-2019,20:15,299.19,
03-05-2019,20:30,299.13,
03-05-2019,20:45,299.08,
03-05-2019,21:00,299.04,
03-05-2019,21:15,299,
03-05-2019,21:30,298.96,
03-05-2019,21:45,298.94,
03-05-2019,22:00,298.93,
03-05-2019,22:15,298.92,
03-05-2019,22:30,298.91,
03-05-2019,22:45,298.91,
03-05-2019,23:00,298.91,
03-05-2019,23:15,298.9,
03-05-2019,23:30,298.9,
03-05-2019,23:45,298.9,
03-05-2019,24:00:00,298.89,
04-05-2019,00:15,298.88,
04-05-2019,00:30,298.88,
04-05-2019,00:45,298.94,
04-05-2019,01:00,299.06,
04-05-2019,01:15,299.19,
04-05-2019,01:30,299.32,
04-05-2019,01:45,299.51,
04-05-2019,02:00,299.78,
04-05-2019,02:15,300.05,
04-05-2019,02:30,300.31,
04-05-2019,02:45,300.6,
04-05-2019,03:00,300.92,
04-05-2019,03:15,301.23,
04-05-2019,03:30,301.54,
04-05-2019,03:45,301.84,
04-05-2019,04:00,302.13,
04-05-2019,04:15,302.43,
04-05-2019,04:30,302.72,
04-05-2019,04:45,302.98,
04-05-2019,05:00,303.2,
04-05-2019,05:15,303.42,
04-05-2019,05:30,303.64,
04-05-2019,05:45,303.84,
04-05-2019,06:00,303.99,417.65
04-05-2019,06:15,304.15,415.63
04-05-2019,06:30,304.31,416.77
04-05-2019,06:45,304.43,415.6
04-05-2019,07:00,304.52,416.11
04-05-2019,07:15,304.6,411.52
04-05-2019,07:30,304.69,411.21
04-05-2019,07:45,304.73,409.44
04-05-2019,08:00,304.75,416.07
04-05-2019,08:15,304.76,409.88
04-05-2019,08:30,304.77,411.64
04-05-2019,08:45,304.75,415.15
04-05-2019,09:00,304.7,407.08
04-05-2019,09:15,304.64,408.07
04-05-2019,09:30,304.59,410.16
04-05-2019,09:45,304.52,405.83
04-05-2019,10:00,304.41,410.46
04-05-2019,10:15,304.31,412.74
04-05-2019,10:30,304.21,412.84
04-05-2019,10:45,304.09,409.26
04-05-2019,11:00,303.93,412.82
04-05-2019,11:15,303.78,415.14
04-05-2019,11:30,303.63,416.78
04-05-2019,11:45,303.45,419.22
04-05-2019,12:00,303.26,412.7
04-05-2019,12:15,303.06,409.8
04-05-2019,12:30,302.86,416.77
04-05-2019,12:45,302.67,418.93
04-05-2019,13:00,302.48,420.47
04-05-2019,13:15,302.28,421.39
04-05-2019,13:30,302.09,417.72
04-05-2019,13:45,301.94,413.2
04-05-2019,14:00,301.82,417.42
04-05-2019,14:15,301.71,413.57
04-05-2019,14:30,301.6,418.07
04-05-2019,14:45,301.51,414.56
04-05-2019,15:00,301.44,420.58
04-05-2019,15:15,301.37,420.24
04-05-2019,15:30,301.3,414.22
04-05-2019,15:45,301.23,418.05
04-05-2019,16:00,301.17,415.67
04-05-2019,16:15,301.11,417.8
04-05-2019,16:30,301.05,415.97
04-05-2019,16:45,300.99,415.98
04-05-2019,17:00,300.93,419.33
04-05-2019,17:15,300.86,412.07
04-05-2019,17:30,300.8,416.67
04-05-2019,17:45,300.74,417.99
04-05-2019,18:00,300.68,415.39
04-05-2019,18:15,300.61,411.82
04-05-2019,18:30,300.55,411.18
04-05-2019,18:45,300.49,411.85
04-05-2019,19:00,300.42,411.62
04-05-2019,19:15,300.35,
04-05-2019,19:30,300.29,
04-05-2019,19:45,300.22,
04-05-2019,20:00,300.16,
04-05-2019,20:15,300.1,
04-05-2019,20:30,300.03,
04-05-2019,20:45,299.97,
04-05-2019,21:00,299.92,
04-05-2019,21:15,299.86,
04-05-2019,21:30,299.8,
04-05-2019,21:45,299.75,
04-05-2019,22:00,299.7,
04-05-2019,22:15,299.65,
04-05-2019,22:30,299.6,
04-05-2019,22:45,299.55,
04-05-2019,23:00,299.51,
04-05-2019,23:15,299.47,
04-05-2019,23:30,299.43,
04-05-2019,23:45,299.39,
04-05-2019,24:00:00,299.36,
05-05-2019,00:15,299.33,
05-05-2019,00:30,299.3,
05-05-2019,00:45,299.36,
05-05-2019,01:00,299.52,
05-05-2019,01:15,299.67,
05-05-2019,01:30,299.83,
05-05-2019,01:45,300.06,
05-05-2019,02:00,300.36,
05-05-2019,02:15,300.67,
05-05-2019,02:30,300.97,
05-05-2019,02:45,301.28,
05-05-2019,03:00,301.6,
05-05-2019,03:15,301.92,
05-05-2019,03:30,302.24,
05-05-2019,03:45,302.56,
05-05-2019,04:00,302.87,
05-05-2019,04:15,303.18,
05-05-2019,04:30,303.49,
05-05-2019,04:45,303.78,
05-05-2019,05:00,304.05,
05-05-2019,05:15,304.32,
05-05-2019,05:30,304.59,
05-05-2019,05:45,304.83,
05-05-2019,06:00,305.04,416.62
05-05-2019,06:15,305.25,415.34
05-05-2019,06:30,305.46,417.39
05-05-2019,06:45,305.63,416.53
05-05-2019,07:00,305.75,417.46
05-05-2019,07:15,305.87,413.84
05-05-2019,07:30,306,412.8
05-05-2019,07:45,306.07,413.36
05-05-2019,08:00,306.1,414.44
05-05-2019,08:15,306.12,410.52
05-05-2019,08:30,306.15,412.02
05-05-2019,08:45,306.13,417.57
05-05-2019,09:00,306.07,417.23
05-05-2019,09:15,306,418.51
05-05-2019,09:30,305.94,415.27
05-05-2019,09:45,305.85,419.7
05-05-2019,10:00,305.73,421.9
05-05-2019,10:15,305.61,417.3
05-05-2019,10:30,305.49,420.25
05-05-2019,10:45,305.34,419.37
05-05-2019,11:00,305.15,419.16
05-05-2019,11:15,304.97,418.12
05-05-2019,11:30,304.78,419.31
05-05-2019,11:45,304.56,422.35
05-05-2019,12:00,304.32,417.61
05-05-2019,12:15,304.08,420.15
05-05-2019,12:30,303.83,419.46
05-05-2019,12:45,303.58,419.99
05-05-2019,13:00,303.32,417.39
05-05-2019,13:15,303.06,419.7
05-05-2019,13:30,302.79,420.15
05-05-2019,13:45,302.58,417.39
05-05-2019,14:00,302.41,417.62
05-05-2019,14:15,302.24,425.83
05-05-2019,14:30,302.07,416.7
05-05-2019,14:45,301.94,414.4
05-05-2019,15:00,301.84,424.18
05-05-2019,15:15,301.73,416.76
05-05-2019,15:30,301.63,413.68
05-05-2019,15:45,301.54,420.23
05-05-2019,16:00,301.45,418.61
05-05-2019,16:15,301.37,414.7
05-05-2019,16:30,301.29,412.95
05-05-2019,16:45,301.21,414.55
05-05-2019,17:00,301.13,414.58
05-05-2019,17:15,301.05,413.74
05-05-2019,17:30,300.97,413.05
05-05-2019,17:45,300.89,414.97
05-05-2019,18:00,300.81,420.42
05-05-2019,18:15,300.73,409.07
05-05-2019,18:30,300.64,409.02
05-05-2019,18:45,300.56,414.11
05-05-2019,19:00,300.49,411.87
05-05-2019,19:15,300.41,
05-05-2019,19:30,300.33,
05-05-2019,19:45,300.26,
05-05-2019,20:00,300.18,
05-05-2019,20:15,300.1,
05-05-2019,20:30,300.03,
05-05-2019,20:45,299.95,
05-05-2019,21:00,299.88,
05-05-2019,21:15,299.81,
05-05-2019,21:30,299.73,
05-05-2019,21:45,299.66,
05-05-2019,22:00,299.58,
05-05-2019,22:15,299.51,
05-05-2019,22:30,299.43,
05-05-2019,22:45,299.36,
05-05-2019,23:00,299.3,
05-05-2019,23:15,299.23,
05-05-2019,23:30,299.17,
05-05-2019,23:45,299.12,
05-05-2019,24:00:00,299.08,
06-05-2019,00:15,299.04,
06-05-2019,00:30,299,
06-05-2019,00:45,299.06,
06-05-2019,01:00,299.21,
06-05-2019,01:15,299.36,
06-05-2019,01:30,299.51,
06-05-2019,01:45,299.74,
06-05-2019,02:00,300.05,
06-05-2019,02:15,300.35,
06-05-2019,02:30,300.66,
06-05-2019,02:45,301.01,
06-05-2019,03:00,301.41,
06-05-2019,03:15,301.81,
06-05-2019,03:30,302.21,
06-05-2019,03:45,302.62,
06-05-2019,04:00,303.03,
06-05-2019,04:15,303.44,
06-05-2019,04:30,303.85,
06-05-2019,04:45,304.24,
06-05-2019,05:00,304.61,
06-05-2019,05:15,304.98,
06-05-2019,05:30,305.35,
06-05-2019,05:45,305.67,
06-05-2019,06:00,305.94,412.48
06-05-2019,06:15,306.2,408.53
06-05-2019,06:30,306.47,417.35
06-05-2019,06:45,306.66,416.69
06-05-2019,07:00,306.78,416.52
06-05-2019,07:15,306.9,411.75
06-05-2019,07:30,307.02,415.91
06-05-2019,07:45,307.07,414.17
06-05-2019,08:00,307.04,410.8
06-05-2019,08:15,307.01,415.85
06-05-2019,08:30,306.99,411.88
06-05-2019,08:45,306.92,410.57
06-05-2019,09:00,306.8,413.91
06-05-2019,09:15,306.69,412.46
06-05-2019,09:30,306.58,420.35
06-05-2019,09:45,306.44,409.06
06-05-2019,10:00,306.27,416.62
06-05-2019,10:15,306.1,409.5
06-05-2019,10:30,305.93,409.86
06-05-2019,10:45,305.72,414.94
06-05-2019,11:00,305.48,412.45
06-05-2019,11:15,305.23,416.24
06-05-2019,11:30,304.98,414.47
06-05-2019,11:45,304.7,415.82
06-05-2019,12:00,304.38,420.63
06-05-2019,12:15,304.07,409.4
06-05-2019,12:30,303.75,414.7
06-05-2019,12:45,303.43,414.47
06-05-2019,13:00,303.12,419.61
06-05-2019,13:15,302.81,414.31
06-05-2019,13:30,302.5,409.69
06-05-2019,13:45,302.25,414.89
06-05-2019,14:00,302.07,412.73
06-05-2019,14:15,301.89,412.76
06-05-2019,14:30,301.71,414.43
06-05-2019,14:45,301.57,405.84
06-05-2019,15:00,301.47,411.54
06-05-2019,15:15,301.37,410.47
06-05-2019,15:30,301.28,412.93
06-05-2019,15:45,301.21,411.63
06-05-2019,16:00,301.16,410.26
06-05-2019,16:15,301.11,409.33
06-05-2019,16:30,301.06,412.09
06-05-2019,16:45,301.02,412.82
06-05-2019,17:00,300.99,409.4
06-05-2019,17:15,300.95,417.62
06-05-2019,17:30,300.92,412.69
06-05-2019,17:45,300.88,414
06-05-2019,18:00,300.85,414.97
06-05-2019,18:15,300.82,412.2
06-05-2019,18:30,300.79,412.38
06-05-2019,18:45,300.75,408.31
06-05-2019,19:00,300.72,409.82
